,Brand,Link,Page Number
350,Xiaomi,https://www.gsmarena.com/xiaomi-phones-f-80-0-p2.php,2
351,Xiaomi,https://www.gsmarena.com/xiaomi-phones-f-80-0-p3.php,3
352,Xiaomi,https://www.gsmarena.com/xiaomi-phones-f-80-0-p4.php,4
353,Xiaomi,https://www.gsmarena.com/xiaomi-phones-f-80-0-p5.php,5
354,Xiaomi,https://www.gsmarena.com/xiaomi-phones-f-80-0-p6.php,6
355,Xiaomi,https://www.gsmarena.com/xiaomi-phones-f-80-0-p7.php,7
356,Xiaomi,https://www.gsmarena.com/xiaomi-phones-f-80-0-p8.php,8
357,Xiaomi,https://www.gsmarena.com/xiaomi-phones-f-80-0-p9.php,9
358,XOLO,https://www.gsmarena.com/xolo-phones-85.php,1
359,XOLO,https://www.gsmarena.com/xolo-phones-f-85-0-p2.php,2
360,Yezz,https://www.gsmarena.com/yezz-phones-78.php,1
361,Yezz,https://www.gsmarena.com/yezz-phones-f-78-0-p2.php,2
362,Yezz,https://www.gsmarena.com/yezz-phones-f-78-0-p3.php,3
363,Yota,https://www.gsmarena.com/yota-phones-99.php,1
364,YU,https://www.gsmarena.com/yu-phones-100.php,1
365,ZTE,https://www.gsmarena.com/zte-phones-62.php,1
366,ZTE,https://www.gsmarena.com/zte-phones-f-62-0-p2.php,2
367,ZTE,https://www.gsmarena.com/zte-phones-f-62-0-p3.php,3
368,ZTE,https://www.gsmarena.com/zte-phones-f-62-0-p4.php,4
369,ZTE,https://www.gsmarena.com/zte-phones-f-62-0-p5.php,5
370,ZTE,https://www.gsmarena.com/zte-phones-f-62-0-p6.php,6
371,ZTE,https://www.gsmarena.com/zte-phones-f-62-0-p7.php,7
372,ZTE,https://www.gsmarena.com/zte-phones-f-62-0-p8.php,8
373,ZTE,https://www.gsmarena.com/zte-phones-f-62-0-p9.php,9
